case_id,source,split,decision,unsupported_claims_count,coverage_ratio,recomputation_fail_count,max_relative_error,mean_relative_error,scale_mismatch_count,period_mismatch_count,ambiguity_count,pnl_table_detected,pnl_identity_fail_count,pnl_margin_fail_count,pnl_missing_baseline_count,pnl_period_strict_mismatch_count
tatqa_pnl_00062,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00079,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00249,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00212,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00005,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00332,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00083,tatqa_gold,train,REPAIR,0,1.0,0,0.01818181818181812,0.01818181818181812,0,0,1,1,2,0,0,0
tatqa_pnl_00154,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00207,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00227,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00276,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00042,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,2
tatqa_pnl_00096,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00239,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00051,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00156,tatqa_gold,train,ACCEPT,0,1.0,0,0.043478260869565216,0.043478260869565216,0,0,0,1,0,0,0,0
tatqa_pnl_00200,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00164,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00077,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00238,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00028,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00130,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00046,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00196,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00129,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00068,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00269,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00224,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00001,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00297,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00278,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00339,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00076,tatqa_gold,train,ACCEPT,0,1.0,0,0.02417700371354622,0.02417700371354622,0,0,1,1,0,0,0,0
tatqa_pnl_00240,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00282,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00165,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00197,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00069,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00193,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00268,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00222,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00030,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00185,tatqa_gold,train,ACCEPT,0,1.0,0,0.002665482007996389,0.002665482007996389,0,0,0,1,0,0,0,0
tatqa_pnl_00261,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00003,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00241,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00142,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00065,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00337,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00294,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00290,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00098,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00300,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,3,0,0,0
tatqa_pnl_00271,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00153,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00264,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00323,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00262,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00295,tatqa_gold,train,ACCEPT,0,1.0,0,0.04160054409430968,0.04160054409430968,0,0,0,1,0,0,0,0
tatqa_pnl_00161,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00040,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00273,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00221,tatqa_gold,train,ACCEPT,0,1.0,0,0.01370407149950357,0.01370407149950357,0,0,0,1,0,0,0,0
tatqa_pnl_00352,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00306,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00298,tatqa_gold,train,REPAIR,0,1.0,0,0.0,0.0,0,0,0,1,3,0,0,0
tatqa_pnl_00257,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00131,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00299,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,3,0,0,0
